title,ingredients,instructions,url
Beef Sunday Roast Homemade,Potatoes; Carrots; Eggs; milk; plain flour; Beef; sunflower oil; Broccoli,"Cook the Broccoli and Carrots in a pan of boiling water until tender.

Roast the Beef and Potatoes in the oven for 45mins, the potatoes may need to be checked regularly to not overcook.

To make the Yorkshire puddings:
Heat oven to 230C/fan 210C/gas 8. Drizzle a little sunflower oil evenly into 2 x 4-hole Yorkshire pudding tins or a 12-hole non-stick muffin tin and place in the oven to heat through
To make the batter, tip 140g plain flour into a bowl and beat in four eggs until smooth. Gradually add 200ml milk and carry on beating until the mix is completely lump-free. Season with salt and pepper. Pour the batter into a jug, then remove the hot tins from the oven. Carefully and evenly pour the batter into the holes. Place the tins back in the oven and leave undisturbed for 20-25 mins until the puddings have puffed up and browned. Serve immediately.

Plate up and add the Gravy as desired.",https://www.bbcgoodfood.com/recipes/9020/best-yorkshire-puddings
Poutine Homemade,Beef Gravy; Vegetable Oil; Cheese Curds; Potatoes,"Heat oil in a deep fryer or deep heavy skillet to 365°F (185°C).
Warm gravy in saucepan or microwave.
Place the fries into the hot oil, and cook until light brown, about 5 minutes.
Remove to a paper towel lined plate to drain.
Place the fries on a serving platter, and sprinkle the cheese over them.
Ladle gravy over the fries and cheese, and serve immediately.",http://www.food.com/recipe/real-canadian-poutine-113388
Classic Christmas pudding Style,Almonds; Butter; Bramley Apples; Eggs; Plain Flour; Candied Peel; Breadcrumbs; Raisins; Brandy; Muscovado Sugar; Nutmeg,"Get everything for the pudding prepared.
 Chop the almonds coarsely.
 Peel, core and chop the cooking apples.
 Sharpen your knife and chop the candied peel.
 (You can chop the almonds and apples in a food processor, but the peel must be done by hand.
) Grate three quarters of the nutmeg (sounds a lot but it's correct).


Mix the almonds, apples, candied peel, nutmeg, raisins, flour, breadcrumbs, light muscovado sugar, eggs and 2 tbsp brandy or cognac in a large bowl.


Holding the butter in its wrapper, grate a quarter of it into the bowl, then stir everything together.
 Repeat until all the butter is grated, then stir for 3-4 mins – the mixture is ready when it subsides slightly after each stir.
 Ask the family to stir too, and get everyone to make a wish.


Generously butter two 1.
2 litre bowls and put a circle of baking parchment in the bottom of each.
 Pack in the pudding mixture.
 Cover with a double layer of baking parchment, pleating it to allow for expansion, then tie with string (keep the paper in place with a rubber band while tying).
 Trim off any excess paper.


Now stand each bowl on a large sheet of foil and bring the edges up over the top, then put another sheet of foil over the top and bring it down underneath to make a double package (this makes the puddings watertight).
 Tie with more string, and make a handle for easy lifting in and out of the pan.
 Watch our video to see how to tie up a pudding correctly.


Boil or oven steam the puddings for 8 hrs, topping up with water as necessary.
 Remove from the pans and leave to cool overnight.
 When cold, discard the messy wrappings and re-wrap in new baking parchment, foil and string.
 Store in a cool, dry place until Christmas.


To make the brandy butter, cream the butter with the orange zest and icing sugar.
 Gradually beat in the brandy or cognac and chopped stem ginger.
 Put in a small bowl, fork the top attractively and put in the fridge to set.
 The butter will keep for a week in the fridge, or it can be frozen for up to six weeks.


On Christmas Day, boil or oven steam for 1 hr.
 Unwrap and turn out.
 To flame, warm 3-4 tbsp brandy in a small pan, pour it over the pudding and set light to it.
",https://www.bbcgoodfood.com/recipes/classic-christmas-pudding
Fish pie Homemade,Lemon; Plain flour; Floury Potatoes; Olive Oil; Nutmeg; Parsley; Dill; Lemon; Gruyère; Leek; Semi-skimmed Milk; White Fish Fillets; Jerusalem Artichokes; Double Cream; Prawns,"01.Put the potatoes in a large pan of cold salted water and bring to the boil. Lower the heat, cover, then simmer gently for 15 minutes until tender. Drain, then return to the pan over a low heat for 30 seconds to drive off any excess water. Mash with 1 tbsp olive oil, then season.
02.Meanwhile put the milk in a large sauté pan, add the fish and bring to the boil. Remove from the heat, cover and stand for 3 minutes. Remove the fish (reserving the milk) and pat dry with kitchen paper, then gently flake into an ovenproof dish, discarding the skin and any bones.
03.Heat the remaining oil in a pan, stir in the flour and cook for 30 seconds. Gradually stir in 200-250ml of the reserved milk (discard the rest). Grate in nutmeg, season, then bubble until thick. Stir in the cream.
04.Preheat the oven to 190°C/fan170°C/gas 5. Grate the artichokes and add to the dish with the leek, prawns and herbs. Stir the lemon zest and juice into the sauce, then pour over. Mix gently with a wooden spoon.
05.Spoon the mash onto the fish mixture, then use a fork to make peaks, which will crisp and brown as it cooks. Sprinkle over the cheese, then bake for 35-40 minutes until golden and bubbling. Serve with wilted greens.",
"Pan-fried hake, white bean & chorizo broth Homemade",Parsley; Bread; Olive Oil; Chorizo; Garlic; Paprika; Onion; Thyme; Bay Leaves; Chicken Stock; Hake; Dried white beans,"step 1
Drain the beans, then tip into a large pan with 2 litres of water. Simmer with the whole garlic cloves, bay leaves and thyme for 30 mins or until cooked and tender. Remove from the heat and set aside.

step 2
Meanwhile, heat 2 tbsp oil in a frying pan. Fry the bread with the remaining garlic clove. When golden and crisp, scoop out and drain on kitchen paper. Add the chorizo to the pan, fry until crisp, tip out and keep warm with the bread.

step 3
Add another 2 tbsp oil and the onion to the pan, and cook for 5 mins until softened. Stir in the paprika. Drain the beans and add to the onions with the chicken stock and 2 tsp salt. Cook for 5-10 mins. Stir through the parsley and keep warm.

step 4
Season the hake and heat the remaining 2 tbsp oil in the frying pan. Put the hake, skin-side down, in the pan and cook for 3-5 mins over a mediumhigh heat to crisp up the skin. Flip the fish over and cook for a further 3-5 mins until cooked through. Spoon the white bean mix into bowls, place the hake on top and finish with the fried bread, chorizo and a little more thyme.",https://www.bbcgoodfood.com/recipes/pan-fried-hake-white-bean-chorizo-broth
Easy Fašírky,Milk; Black Pepper; Vegetable Oil; Mustard; Bread; Marjoram; Flour; Garlic; Onion; Salt; Egg; Breadcrumbs; Egg; Ground Pork; Parsley,"1.
 Prepare the Bread Mixture
Soak the bread slices in milk or water until soft.

Squeeze out excess liquid and mash into small crumbs.

2.
 Mix the Ingredients
In a large bowl, combine ground meat, chopped onions, garlic, soaked bread, egg, and seasonings.

Mix well until evenly combined.

3.
 Shape the Meat Patties
Take portions of the mixture and shape them into palm-sized patties.

Flatten slightly to help with even cooking.

4.
 Coat the Patties
Lightly dust each patty with flour.

Dip into beaten egg, then coat with breadcrumbs for a crispy finish.

5.
 Fry the Fašírky
Heat vegetable oil in a pan over medium heat.

Fry the patties for 4-5 minutes per side until golden brown and fully cooked.

Transfer to a paper towel-lined plate to drain excess oil.

6.
 Serve and Enjoy
Serve Fašírky hot with mashed potatoes, cabbage salad, or fresh bread.

Enjoy with mustard, pickles, or garlic sauce for extra flavor.
",https://www.slovakia-foods.co.uk/blog/post/fasirky-recipe-how-to-make-authentic-slovak-meat-patties.html
Coddled pork with cider Homemade,Bacon; Potatoes; Bay Leaf; Carrots; Swede; Chicken Stock; Pork Chops; Cabbage; Cider; Butter,"STEP 1
Heat the butter in a casserole dish until sizzling, then fry the pork for 2-3 mins on each side until browned. Remove from the pan.

STEP 2
Tip the bacon, carrot, potatoes and swede into the pan, then gently fry until slightly coloured. Stir in the cabbage, sit the chops back on top, add the bay leaf, then pour over the cider and stock. Cover the pan, then leave everything to gently simmer for 20 mins until the pork is cooked through and the vegetables are tender.

STEP 3
Serve at the table spooned straight from the dish.",https://www.bbcgoodfood.com/recipes/irish-coddled-pork-cider
Polish patties (kotlety) Recipe,Breadcrumbs; Marjoram; Garlic Clove; Bread Rolls; Vegetable Oil; Ground Beef; Milk; Egg; Onion,"step 1
Soak the bread roll in the milk so it softens completely.
 Meanwhile, fry the onion in the oil for around 8 mins or until soft and golden.
 Add the fried onion to the beef mince along with the egg, garlic, marjoram and some seasoning.
 Squeeze the excess milk from the bread roll and add it to the mince mixture.
 Mix everything together and season well.


step 2
Divide the meat into 8 patties.
 Tip the dried breadcrumbs into a shallow bowl and coat the patties in it, all over.
 Heat some oil in a deep frying pan and fry the patties in batches on both sides until browned and cooked through, about 6-7 mins on each side.
",https://www.bbcgoodfood.com/recipes/polish-patties
Portuguese fish stew (Caldeirada de peixe),Baguette; Onions; Dry White Wine; Squid; Garlic; Potatoes; Mussels; Bay Leaf; Clams; Coriander; Tiger Prawns; Cod; Red Chilli; Saffron; Plum Tomatoes; Red Pepper,"STEP 1

Heat a drizzle of oil in a large, deep-sided frying pan, and fry the onion and pepper on a medium heat until softened but not browned. Finely chop the coriander stalks (keep the leaves for later), and add to the pan with the chilli and chopped garlic. Fry for another few minutes. Add the wine, saffron and bay leaf and let it simmer until reduced by half.

STEP 2

Add the potatoes, tomatoes, and 300ml water and bring to a gentle boil. Break up the tomatoes with a spoon on the side of the pan and simmer for 20-25 minutes until the potatoes are just tender, and the tomatoes have broken down.

STEP 3

Season well, then gently push the fish into the sauce, and arrange the squid, prawns, clams and mussels on the surface. Put the lid on and cook for 6-8 minutes until the mussel and clam shells have opened, the prawns are cooked and the fish is flaky. Toast the bread, rub lightly with the halved garlic clove and drizzle with olive oil. Serve the stew scatted with chopped coriander leaves, and the toasts for dunking.",https://www.olivemagazine.com/recipes/one-pots/portuguese-fish-stew-caldeirada-de-peixe/
Easy Lasagna Sandwiches,Chopped Onion; Bread; Butter; Salt; Tomato; Bacon; Sour Cream; Dried Oregano; Mozzarella,"1.
 In a small bowl, combine the first four ingredients; spread on four slices of bread.
 Layer with bacon, tomato and cheese; top with remaining bread.


2.
 In a large skillet or griddle, melt 2 tablespoons butter.
 Toast sandwiches until lightly browned on both sides and cheese is melted, adding butter if necessary.


Nutrition Facts
1 sandwich: 445 calories, 24g fat (12g saturated fat), 66mg cholesterol, 1094mg sodium, 35g carbohydrate (3g sugars, 2g fiber), 21g protein.
",
